Name	Handle	Party
Donna Brazile	@donnabrazile	Democrat
Nancy Pelosi	@NancyPelosi	Democrat
The Democrats	@TheDemocrats	Democrat
Joe Biden	@JoeBiden	Democrat
Senator Harry Reid	@SenateDems	Democrat
House Democrats	@HouseDemocrats	Democrat
Senate Democrats	@SenateDems	Democrat
People For Bernie	@People4Bernie	Democrat
D Wasserman Schultz	@DWStweets	Democrat
(((R.Saddler)))	@Politics_PR	Democrat
Propane Jane	@docrocktex26	Democrat
Brandon Cloud	@theclobra	Democrat
Skook	@skookerG	Democrat
Madeleine Albright	@madeleine	Democrat
McSpocky	@mcspocky	Democrat
KHARY PENEBAKER	@kharyp	Democrat
Nonprofit Quarterly	@npquarterly	Democrat
EMILY's List	@emilyslist	Democrat
AR Democrat-Gazette	@ArkansasOnline	Democrat
Rapunzel	@co_rapunzel4	Democrat
AppSame	@AppSame	Republican
Sarah Palin	@SarahPalinUSA	Republican
"I'm Chuck, Dude! :)"	@ChuckNellis	Republican
Michelle Malkin	@michellemalkin	Republican
CC	@ChristiChat	Republican
Deplorable Carmine Z	@CarmineZozzora	Republican
Pray Always!	@erotao	Republican
GOP	@GOP	Republican
Dr. Marty Fox	@DrMartyFox	Republican
Carly Fiorina	@CarlyFiorina	Republican
Max Emfinger Patriot	@EmfingerSScout	Republican
Anna Maria Perez	@A_M_Perez	Republican
Lori Hendry	@Lrihendry	Republican
(((Lady Patriot)))	@marylene58	Republican
Reince Priebus	@Reince	Republican
House Republicans	@HouseGOP	Republican
Meghan McCain	@MeghanMcCain	Republican
Judy Stines Ex-GOP	@jstines3	Republican
Daniel Hannan	@DanielJHannan	Republican
Rick Wilson	@TheRickWilson	Republican
Richard Shelby	@SenShelby	Republican
Tommy Tuberville	@Ttuberville	Republican
Jerry Carl	@RepJerryCarl	Republican
Barry Moore	@RepBarryMoore	Republican
Mike Rogers	@RepMikeRogers	Republican
Robert Aderholt	@Robert_Aderholt	Republican
Mo Brooks	@RepMoBrooks	Republican
Gary Palmer	@USRepGaryPalmer	Republican
Terri A. Sewell	@RepTerriSewell	Democrat
Dan Sullivan	@SenDanSullivan	Republican
Lisa Murkowski	@lisamurkowski	Republican
Don Young	@RepDonYoung	Republican
Amata Radewagen	@RepAmata	Republican
Mark Kelly	@SenMarkKelly	Democrat
Kyrsten Sinema	@SenatorSinema	Democrat
Tom O'Halleran	@TomOHalleran	Democrat
Ann Kirkpatrick	@RepKirkPatrick	Democrat
Raul Grijalva	@RepRaulGrijalva	Democrat
Paul A. Gosar	@RepGosar	Republican
Andy Biggs	@AndyBiggs4AZ	Republican
David Schweikert	@RepDavid	Republican
Ruben Gallego	@RepRubenGallego	Democrat
Debbie Lesko	@RepDLesko	Republican
Greg Stanton	@RepGregStanton	Democrat
Tom Cotton	@SenTomCotton	Republican
John Boozman	@JohnBoozman	Republican
Rick Crawford	@RepRickCrawford	Republican
French Hill	@RepFrenchHill	Republican
Steve Womack	@rep_stevewomack	Republican
Bruce Westerman	@RepWesterman	Republican
Dianne Feinstein	@SenFeinstein	Democrat
Alex Padilla	@KamalaHarris	Democrat
Doug LaMalfa	@RepLaMalfa	Republican
Jared Huffman	@RepHuffman	Democrat
John Garamendi	@RepGaramendi	Democrat
Tom McClintock	@RepMcClintock	Republican
Mike Thompson	@RepThompson	Democrat
Doris O. Matsui	@DorisMatsui	Democrat
Ami Bera	@RepBera	Democrat
Jay Obernolte	@JayObernolte	Republican
Jerry McNerney	@RepMcNerney	Democrat
Josh Harder	@RepJoshHarder	Democrat
Mark DeSaulnier	@RepDeSaulnier	Democrat
Nancy Pelosi	@SpeakerPelosi	Democrat
Barbara Lee	@RepBarbaraLee	Democrat
Jackie Speier	@RepSpeier	Democrat
Eric Swalwell	@RepSwalwell	Democrat
Jim Costa	@RepJimCosta	Democrat
Ro Khanna	@RoKhannaUSA	Democrat
Anna G. Eshoo	@RepAnnaEshoo	Democrat
Zoe Lofgren	@RepZoeLofgren	Democrat
Jimmy Panetta	@JimmyPanetta	Democrat
David Valadao	@RepDavidValadao	Republican
Devin Nunes	@DevinNunes	Republican
Kevin McCarthy	@GOPLeader	Republican
Salud Carbajal	@CarbajalSalud	Democrat
Mike Garcia	@MikeGarcia2020	Republican
Julia Brownley	@RepBrownley	Democrat
Judy Chu	@RepJudyChu	Democrat
Adam Schiff	@RepAdamSchiff	Democrat
Tony C�rdenas	@RepCardenas	Democrat
Brad Sherman	@BradSherman	Democrat
Pete Aguilar	@RepPeteAguilar	Democrat
Grace Napolitano	@gracenapolitano	Democrat
Ted Lieu	@RepTedLieu	Democrat
Jimmy Gomez	@RepJimmyGomez	Democrat
Norma Torres	@NormaJTorres	Democrat
Raul Ruiz	@RepRaulRuizMD	Democrat
Karen Bass	@RepKarenBass	Democrat
Linda S�nchez	@RepLindaSanchez	Democrat
Young Kim	@YoungKimCA	Republican
Lucille Roybal-Allard	@RepRoybalAllard	Democrat
Mark Takano	@RepMarkTakano	Democrat
Ken Calvert	@KenCalvert	Republican
Maxine Waters	@MaxineWaters	Democrat
Nanette Barragan	@Nanette4CA	Democrat
Katie Porter	@RepKatiePorter	Democrat
Lou Correa	@RepLouCorrea	Democrat
Alan Lowenthal	@RepLowenthal	Democrat
Michelle Steel	@MichelleSteelCA	Republican
Mike Levin	@RepMikeLevin	Democrat
Darrell Issa	@DarrellIssa	Republican
Juan Vargas	@RepJuanVargas	Democrat
Scott Peters	@RepScottPeters	Democrat
Sara Jacobs	@SaraJacobsCA	Democrat
Michael Bennet	@MichaelBennet	Democrat
John Hickenlooper	@SenatorHick	Democrat
Diana DeGette	@RepDianaDeGette	Democrat
Joe Neguse	@RepJoeNeguse	Republican
Lauren Boebert	@laurenboebert	Republican
Ken Buck	@RepKenBuck	Republican
Doug Lamborn	@RepDLamborn	Republican
Jason Crow	@RepJasonCrow	Democrat
Ed Perlmutter	@RepPerlmutter	Democrat
Chris Murphy	@ChrisMurphyCT	Democrat
Richard Blumenthal	@SenBlumenthal	Democrat
John B. Larson	@RepJohnLarson	Democrat
Joe Courtney	@RepJoeCourtney	Democrat
Rosa L. DeLauro	@rosadelauro	Democrat
Jim Himes	@jahimes	Democrat
Jahana Hayes	@RepJahanaHayes	Democrat
Chris Coons	@SenCoonsOffice	Democrat
Tom Carper	@SenatorCarper	Democrat
Lisa Blunt Rochester	@LisaBRochester	Democrat
Eleanor Holmes Norton	@EleanorNorton	Democrat
Marco Rubio	@marcorubio	Republican
